Status;Tese;Área responsável;Objeto da tese;Estado;Ramo de atividade;Regime tributário;Tipo de produto que industrializa;Observações;Clientes possíveis;Data de criação;Inicial
Ativo;PIS COFINS Ind. Encomenda ZFM;Contencioso;Ação judicial para garantir a aplicação de alíquota 0 de PIS/COFINS sobre as receitas provenientes da atividade de industrialização por encomenda, realizada para outras empresas sediadas na Zona Franca de Manaus, bem como garantir a restituição do montante indevidamente pago nos últimos cinco anos.;AM;Indústria;"Lucro Real
Lucro Presumido";Não aplicável;;Clique aqui;2026-01-05;
Ativo;PIS COFINS Importação ZFM;Contencioso;Ação judicial para afastar a exigência do PIS/COFINS–Importação em relação às mercadorias adquiridas para consumo ou revenda dentro da Zona Franca de Manaus, bem como na aquisição de bens que componham o ativo fixo da empresa, bem como garantir a restituição do montante indevidamente pago nos últimos cinco anos.;AM;"Indústria
Comércio
Serviço
Transporte";"Lucro Real
Lucro Presumido
Simples Nacional";Não aplicável;"Para empresas da ZFM (lucro Real ou Presumido).
Em via de regra serve para comércio, pois não tem benefício de importação (sempre pagará PIS/COFINS na importação).
Serve para indústrias caso elas importem produtos fora do regime da empresa/fora do PPB ou mercadoria para revenda (sem passar por industrialização).
Essa tese só tem efeito de caixa, pois quando a empresa paga, ela também se credita, então não faz sentido para a empresa, economicamente falando.";Clique aqui;2026-01-05;"Conceder in limine litis e inaudita altera parte a
medida liminar (Art. 7º, inc. III, LMS) para afastar
imediatamente a exigência do PIS-Importação e da
COFINS-Importação (Art. 1º da Lei nº 10.865/04) na
entrada de bens e mercadorias estrangeiros, importados
pela autora, de países signatários do GATT, de modo a
permitir o regular desembaraço aduaneiro de bens
destinados ao seu uso, consumo, a industrialização, a
comercialização e/ou para incorporação em seu ativo
permanente, suspendendo a exigibilidade dessa tributação
ora questionada, na dicção do artigo 151-V do CTN, até
final resolução deste processo;"
Ativo;PIS COFINS Manutenção ICMS Crédito;Contencioso;Ação judicial visando a manutenção do valor referente ao ICMS nos créditos de PIS/COFINS a que a empresa faz jus por conta de estar enquadrada no regime da não cumulatividade, bem como a recuperação dessa parte dos créditos não escriturados desde maio de 2023.;"SP
OUTROS";"Indústria
Comércio
Serviço
Transporte";Lucro Real;Não aplicável;"Empresas do Lucro Real (regime não cumulativo) -empresas do Lucro Presumido não têm direito a crédito.
Empresas comerciais de fora de Manaus.
É necessário ter o ICMS destacado na nota, pois a lei de 2023 trouxe a mudança de que o ICMS não pode ser considerado para crédito. Nossa defesa diz que o crédito de PIS/COFINS é sobre o custo de aquisição, portanto o valor deve continuar integrado no crédito.
Empresas de Manaus que possuem a ação de PIS/COFINS créditos e que tenham ICMS destacado nas NF’s de produtos que gerem créditos (insumos), pode usar dessa tese para usufruir o máximo benefício das duas ações.";Clique aqui;2026-01-05;"Conceda in limine litis e inaudita altera parte
a medida liminar (Art. 7º, inc. III, LMS) para
autorizar que a IMPETRANTE apure os créditos
de PIS e COFINS, com a inclusão, em suas bases
de cálculo, do ICMS incidente sobre as
aquisições de bens e serviços, em respeito à
não cumulatividade dessas contribuições;"
Ativo;PIS COFINS Receitas Financeiras;Contencioso;;AM;"Indústria
Comércio
Serviço
Transporte";"Lucro Real
Lucro Presumido
Simples Nacional";Não aplicável;;Clique aqui;2026-01-05;
Ativo;PIS COFINS Serviços ALCs;Contencioso;Ação judicial visando reconhecer a não incidência das contribuições sociais PIS e COFINS sobre as receitas provenientes da prestação de serviços realizadas para e dentro das ALC’s – Áreas de Livre Comércio, por equiparação aos benefícios da ZFM, bem como garantir a restituição do montante indevidamente pago nos últimos cinco anos.;"SP
AM
OUTROS";Serviço;"Lucro Real
Lucro Presumido";Não aplicável;"Empresas de serviços na Zona Franca de Manaus ou nas ALC’s que prestam serviço para as ALC’s
Empresas de serviços (outras localidades) que prestam serviço para as ALC’s.
Resumo: o tomador do serviço precisa estar em uma das ALC’s.";Clique aqui;2026-01-05;Seja concedida a medida liminar, inaudita altera parte, suspendendo-se a exigibilidade da contribuição para o PIS e a COFINS sobre as receitas oriundas de todas as prestações de serviço da Requerente dentro da Zona Franca de Manause das Áreas de Livre Comércio, obrigando a Autoridade Coatora a abster-se de exigir, por qualquer meio, tais contribuições
Ativo;PIS COFINS Serviços ZFM;Contencioso;Ação judicial visando reconhecer a não incidência das contribuições sociais PIS e COFINS sobre as receitas provenientes da prestação de serviços realizadas para outras pessoas físicas ou jurídicas sediadas na Zona Franca de Manaus, bem como garantir a restituição do montante indevidamente pago nos últimos cinco anos.;"SP
AM
OUTROS";Serviço;"Lucro Real
Lucro Presumido
Simples Nacional";Não aplicável;"Empresas de serviços na Zona Franca de Manaus que prestam serviço para Zona Franca de Manaus.
Empresas de serviços (outras localidades) que prestam serviço para a Zona Franca de Manaus.
Resumo: o tomador do serviço precisa estar na ZFM.";Clique aqui;2026-01-05;"Conceder in limine litis e inaudita altera parte
a medida liminar (art. 7º, inc. III, LMS) para
suspender a exigibilidade dos créditos tributários
referentes ao PIS e à COFINS sobre suas receitas
decorrentes da prestação de serviços, inclusive
os valores retidos na fonte, para os tomadores,
pessoas físicas/jurídicas, estabelecidos dentro
da Zona Franca Manaus, até final resolução deste
mandamus, na dicção do artigo 151, inciso IV, do
Código Tributário Nacional;"
Ativo;PIS COFINS Subvenções ICMS;Contencioso;Ação judicial para assegurar a exclusão dos valores recebidos a título de subvenções estaduais (crédito presumido de ICMS) da receita bruta tributável pelo PIS e pela COFINS, garantindo a restituição dos valores indevidamente pagos a tais títulos nos cinco anos que antecedem o ajuizamento da ação.;"SP
AM
OUTROS";"Indústria
Comércio
Serviço
Transporte";"Lucro Real
Lucro Presumido";Não aplicável;;Clique aqui;2026-01-05;"Conceder in limine litis e inaudita altera parte
a medida liminar (art. 7º-III, LMS) para suspender a exigibilidade dos créditos tributários de PIS e
COFINS sobre qualquer valor relativo às subvenções
de ICMS (isenção, alíquota zero, crédito presumido,
redução de base de cálculo, crédito estímulo,
diferimento etc.), independentemente de suas
destinações e/ou espécies, até final resolução
deste mandamus, na dicção do Art. 151-IV, do
Código Tributário Nacional;"
Ativo;PIS COFINS Vendas ALCs;Contencioso;Ação judicial visando reconhecer a não incidência das contribuições sociais PIS e COFINS sobre as receitas provenientes das vendas para e dentro das ALC’s – Áreas de Livre Comércio, por equiparação aos benefícios da ZFM, bem como garantir a restituição do montante indevidamente pago nos últimos cinco anos.;"SP
AM
OUTROS";"Indústria
Comércio";"Lucro Real
Lucro Presumido
Simples Nacional";Não aplicável;"Comércio situado na ALC que vende para a Área de Livre Comércio.
Industria da ALC (de bem final) que vende para ALC.
Se a empresa vender produto NACIONAL para outra empresa (PJ para PJ) já existe instrução normativa que permite a não incidência das contribuições, mas é possível oferecer de forma administrativa caso ela ainda esteja pagando.
Resumo:
Produto nacional – de PJ para PJ (já existe instrução normativa, oferecer administrativo, caso esteja pagando)
Produto importado – de PJ para PJ (possível entrar com a ação)
Produto nacional/importado – de PJ para PF (possível entrar com a ação).";Clique aqui;2026-01-05;"Conceder in limine litis e inaudita altera parte a
medida liminar (art. 7º, inc. III, LMS) para suspender
a exigibilidade dos créditos tributários referentes ao
PIS e à COFINS sobre as suas receitas de vendas de
mercadorias, nacionais/nacionalizadas, independentemente
da localização da IMPETRANTE (fora ou dentro das ALCs)
para pessoas físicas e/ou jurídicas situadas nas Áreas
de Livre Comércio de Tabatinga/AM, Macapá/AP, Santana/AP,
Guajará-Mirim/RO, Boa Vista/RR, Bonfim/RR, Brasiléia/AC,
Epitaciolândia/AC e Cruzeiro do Sul/AC), até final
resolução deste mandamus, na dicção do artigo 151,
inciso IV, do Código Tributário Nacional;"
Ativo;PIS COFINS Vendas Internas ZFM;Contencioso;Ação judicial visando reconhecer a não incidência das contribuições sociais PIS e COFINS sobre as receitas provenientes das vendas internas, realizadas para outras pessoas físicas ou jurídicas (de produto importado) sediadas na Zona Franca de Manaus.;AM;"Indústria
Comércio";"Lucro Real
Lucro Presumido
Simples Nacional";Não aplicável;"Comércio de Manaus que vende para dentro.
Industria de Manaus (de bem final) que vende para dentro.
Se a empresa vender produto NACIONAL para outra empresa (PJ para PJ) já existe instrução normativa que permite a não incidência das contribuições, mas é possível oferecer de forma administrativa caso ela ainda esteja pagando.
Resumo:
Produto nacional – de PJ para PJ (já existe instrução normativa, oferecer administrativo, caso esteja pagando)
Produto importado – de PJ para PJ (possível entrar com a ação)
Produto nacional/importado – de PJ para PF (possível entrar com a ação).
 
https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2004/lei/l10996.htm";Clique aqui;2026-01-05;"Conceder in limine litis e inaudita altera parte a
tutela de urgência para afastar imediatamente a
exigência do PIS e da COFINS sobre suas receitas de
vendas internas de mercadorias nacional e
nacionalizadas, para consumo e/ou industrialização,
dentro da Zona Franca de Manaus, a pessoas físicas
e/ou jurídicas ali estabelecidas, suspendendo-se a
exigibilidade dessa tributação ora questionada, na dicção do artigo 151- V do Código Tributário Nacional, até final resolução deste processo"
Ativo;REINTEGRA Ampliação;Contencioso;Ação judicial para garantir a ampliação dos créditos do REINTEGRA, assegurando o direito de apurar os créditos do REINTEGRA no ano de 2015 pela alíquota de 3% (ao invés de 1%) e no ano de 2018 pela alíquota de 2% (ao invés de 0,1%).;"SP
AM
OUTROS";"Indústria
Comércio";"Lucro Real
Lucro Presumido";Não aplicável;"Necessário ter direito ao REINTEGRA (ter processo de REINTEGRA).
Saiu julgamento parcialmente favorável aos contribuintes, a decisão foi favorável para o período nonagesimal (90 dias), não para o ano inteiro. Ainda não houve modulação dos efeitos.
O ideal era aguardar a ação do REINTEGRA transitar em julgado para pedir o direito da ampliação, devido ao tempo para reclamar o aumento da taxa (faríamos o link com a conquista do direito e não com a data de diminuição da taxa).";Clique aqui;2026-01-05;
Ativo;TCIF;Contencioso;Ação judicial para afastar a exigibilidade das novas taxas exigidas pela Suframa, bem como garantir a restituição do montante indevidamente pago nos últimos cinco anos.;AM;"Indústria
Comércio
Serviço
Transporte";"Lucro Real
Lucro Presumido";Não aplicável;"Para empresas que usufruem dos incentivos das ALC’s e da ZFM.
Essa tese não tem precedente e está sendo desfavorável as empresas.";Clique aqui;2026-01-05;"Conceder in limine litis e inaudita altera parte a
medida liminar (art. 7º, inc. III, LMS) para suspender
a exigibilidade da Taxa de Controle de Incentivos
Fiscais (TCIF) cobrada pela SUFRAMA, com base na Lei
nº 13.451/2017, até final resolução deste mandamus, na
dicção do art. 151, inciso IV, do Código Tributário
Nacional;"
Ativo;PIS COFINS Regime Autopeças ZFM;Contencioso;Ação judicial que visa a aplicação das alíquotas reduzidas de PIS/COFINS (0,65%/3%, via de regra) previstas no Regime da Zona Franca de Manaus (ZFM) na comercialização de autopeças destinadas a fabricante de veículos automotores e outras autopeças em detrimento daquelas previstas na Lei nº 10.485/02, bem como, pleitear a repetição dos valores pagos indevidamente.;AM;Indústria;Lucro Real;Não aplicável;;Clique aqui;2026-01-05;"Conceder in limine litis e inaudita altera parte a
medida liminar (Art. 7º-III, LMS) para imediatamente
permitir a aplicação das alíquotas reduzidas do PIS e
da COFINS conforme o Regime ZFM nas suas vendas para
fora da ZFM para adquirentes industriais, suspendendo
a exigibilidade dos créditos tributários relativos ao
questionado excesso dessas contribuições, na dicção do
Artigo 151-V do Código Tributário Nacional, até final
resolução deste processo;"
Ativo;Benefício SUDAM - Isenção de IRPJ;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Consultoria Tributária Mensal;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Consultoria Especializada em Incentivos Fiscais e Acompanhamento de Projetos na ZFM;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Elaboração de Contrato de Compra e Venda;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Defesa em Auto de Infração;"Consultivo
Contencioso";;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Elaboração PPB;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Elaboração de RDAP;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Estruturação Societária (holdings);Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Estruturação Societária;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Estudo de Viabilidade ZFM;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Estudo de Valuation;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Habilitação dos Créditos Acumulados;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Implantação ZFM;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;JCP;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Parceria de Reforma tributária;Comercial;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Manifestação de Inconformidade;Contencioso;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;"Conceda in limine litis e inaudita altera parte
a liminar (Art. 7º, inc. III, LMS) para suspender
a exigibilidade do crédito tributário objeto das
Cartas de Cobrança elencadas anteriormente, até
o julgamento das correspondentes manifestações
de inconformidade apresentadas;"
Ativo;Parecer Técnico;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Planejamento tributário;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Pedido de Ressarcimento de ICMS/ST perante à SEFAZ/AM;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
